APP,url,classification,commit id,LLM,LLM_Deployment Environments,vectordb,VectorDB_Deployment Environments,langchain,language
(fork)arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,https://github.com/arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,context-based QA,5259ae39cd23892c3d0030b98ae99148fb5b7284,OpenAI,Online, Chroma,online,1,TypeScript
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,multifunction,ebd3a62866e9e17b07a4a973b74329c0297fb78a,OpenAI,Online,LanceDB,local,1,javascript
(fork)frasergr/anything-llm,https://github.com/frasergr/anything-llm,multifunction,5fa61458724fd019a15e243b8db8e71bead950b5,openai,online,pinecone,online,1,javascript
alejandro-ao/ask-multiple-pdfs,https://github.com/alejandro-ao/ask-multiple-pdfs,context-based QA,362e85213a01d73772d5319fb9819e026ecbe8a7,OpenAI,Online,FAISS,local,1,python
(fork)aigeek0x0/chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,https://github.com/aigeek0x0/chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,context-based QA,3cc2b0ac1522d6a78a998759ea212052ddefb3b7,openai,online,FAISS,local,1,python
mayooear/private-chatbot-mpt30b-langchain,https://github.com/mayooear/private-chatbot-mpt30b-langchain,context-based QA,dbb888a2d5f1eaf6256ffab53e4ec0b766a86a3f,MPT-30B,local,chroma,local,1,python
c0sogi/LLMChat,https://github.com/c0sogi/LLMChat,multifunction,b0fe554ca2327d2dc43dc819934b7973e662ffdb,OpenAI,Online,Redis,local,1,python
dotvignesh/PDFChat,https://github.com/dotvignesh/PDFChat,context-based QA,bb46824b7835386d39f76cd0c70b427dc42997c9,OpenAI,Online,FAISS,local,1,python
yvann-hub/Robby-chatbot,https://github.com/yvann-hub/Robby-chatbot,context-based QA,5beb6894c8ba0d0b67188ba2be568a2a22a00491,OpenAI,Online,FAISS,local,1,python
(fork)gabacode/ChatBot-PDF,https://github.com/gabacode/ChatBot-PDF,context-based QA,320476ac687db4ea0e9051b4b25ef6904d3a014d,OpenAI,Online,FAISS,local,1,python
(fork)chinesewebman/doc-chatbot,https://github.com/chinesewebman/doc-chatbot,context-based QA,d17caf9f0414bc7bc802774de1f13c5d746966fb,OpenAI,Online,FAISS,local,1,python
Doriandarko/BabyAGIChatGPT,https://github.com/Doriandarko/BabyAGIChatGPT,task management,174491cbbc09d3f6ef0ec511e9e3b94e2615ffa0,OpenAI,Online,pinecone,Online,0,python
(fork)benjaminearlevans/Chatgpt-babyagi-plugin,https://github.com/benjaminearlevans/Chatgpt-babyagi-plugin,task management,771a5ba6e6b69c30020da7a139ccec868b4a3dc7,OpenAI,Online,pinecone,Online,0,python
codeacme17/examor,https://github.com/codeacme17/examor,other,891ed727b711c6b59e3c6899f7fa08f0df773c30,OpenAI,Online,chroma,local,1,TypeScript
junruxiong/IncarnaMind,https://github.com/junruxiong/IncarnaMind,context-based QA,75564a3bf08d0006387889cdc9a76fc509ededd8,OpenAI,Online,chroma,local,1,python
Codium-ai/pr-agent,https://github.com/Codium-ai/pr-agent,other,41166dc271039f9952c8086005f6c4b242021221,OpenAI,Online,pinecone,Online,1,python
(fork)SolaceDev/pr-agent,https://github.com/SolaceDev/pr-agent,other,5c768572233adb5fb9eadef21a184410b30b5603,OpenAI,Online,pinecone,Online,1,python
,context-based QA,41%,平均数,,,,,,
,task management,24%,最大值,,,,,,
,multifunction,18%,最小值,,,,,,
,chatbot,10%,,openai,Online,pinecone,Online,langchain,python
,other,7%,,82%,85%,21%,31%,73%,74%
,,,,llama,local,faiss,local,,TypeScript
,,,,10%,15%,19%,69%,,17%
,,,,other,,chroma,,,javascript
,,,,8%,,42%,,,5%
,,,,,,mongo,,,Jupyter Notebook
,,,,,,7%,,,3%
,,,,,,WEAVIATE,,,
,,,,,,3%,,,
,,,,,,other,,,
,,,,,,8%,,,
,,,,,,1,,,
,,,,,,,,,
,,,,,,,,,
,of Project,Avg stars,Avf commits,,,,,,
context-based QA,41%,#REF!,#REF!,,,,,,
task management,24%,#REF!,#REF!,,,,,,
multifunction,18%,#REF!,#REF!,,,,,,
chatbot,10%,#REF!,#REF!,,,,,,
other,7%,#REF!,#REF!,,,,,,
